case,bound,m0_setup_ms,m0_pfxt_ms,m0_cold_ms,m0_generated_paths,m0_strips,m0_strip_paths,m0_tiles,m0_tile_paths,m0_individual,m0_total,m0_cold_min_ms,m0_cold_max_ms,m1_setup_ms,m1_pfxt_ms,m1_cold_ms,m1_generated_paths,m1_strips,m1_strip_paths,m1_tiles,m1_tile_paths,m1_individual,m1_total,m1_cold_min_ms,m1_cold_max_ms,m2_setup_ms,m2_pfxt_ms,m2_cold_ms,m2_generated_paths,m2_strips,m2_strip_paths,m2_tiles,m2_tile_paths,m2_individual,m2_total,m2_cold_min_ms,m2_cold_max_ms,m3_setup_ms,m3_pfxt_ms,m3_cold_ms,m3_generated_paths,m3_strips,m3_strip_paths,m3_tiles,m3_tile_paths,m3_individual,m3_total,m3_cold_min_ms,m3_cold_max_ms,204_alone_speedup,24_alone_speedup,24_added_speedup,204_added_speedup,both_speedup,m0_bound_speedup,m1_bound_speedup,m2_bound_speedup,m3_bound_speedup
netcard_d50,1,14.704105,119.36853,134.096845,1906498.0,0.0,0.0,0.0,0.0,252217451.0,252217451.0,134.03257200000002,134.097939,14.676947,94.22012,108.955208,1906498.0,0.0,0.0,1987159.0,248784772.0,3432679.0,252217451.0,108.859411,108.995218,14.683398,132.51947,147.20286800000002,1906498.0,46.0,1232.0,0.0,0.0,252216219.0,252217451.0,145.63827799999999,147.392075,14.688719,94.496416,109.19323,1906498.0,46.0,1232.0,1987154.0,248783978.0,3432241.0,252217451.0,108.616423,109.65415800000001,1.2307520444548186,0.9109662523694849,0.9978201762142214,1.3480951886852328,1.2280692218739202,1.0624470545895395,1.0673901058497361,1.0385947167822842,1.0686436787335627
netcard_base_x8,0,3.207096,6.945135,10.167717,2235631.0,0.0,0.0,0.0,0.0,904064.0,904064.0,10.035715,10.219567,3.21571,6.91105,10.136369,2235631.0,0.0,0.0,115.0,1835.0,902229.0,904064.0,9.988929,10.15038,3.237507,6.946811,10.184318000000001,2235631.0,1107.0,8871.0,0.0,0.0,895193.0,904064.0,10.138174,10.235777,3.222049,6.870386,10.098206,2235631.0,1107.0,8871.0,115.0,1835.0,893358.0,904064.0,10.068083000000001,10.132286,1.0030926261662336,0.9983699448505043,1.0037791861247434,1.0085274552727486,1.0068834999008736,0.8917655247429285,0.890589415006149,0.8854468093393639,0.8862283468457435
netcard_base_x8,1,3.217551,8.187786,11.401782999999998,1685484.0,0.0,0.0,0.0,0.0,904064.0,904064.0,11.311881,11.446341,3.225598,8.15422,11.381641,1685484.0,0.0,0.0,115.0,1835.0,902229.0,904064.0,11.336726,11.420292,3.214982,8.286915,11.501897,1685484.0,1107.0,8871.0,0.0,0.0,895193.0,904064.0,11.4493,11.550241,3.205264,8.169744,11.394587,1685484.0,1107.0,8871.0,115.0,1835.0,893358.0,904064.0,11.375008,11.559755,1.0017696920857018,0.9912958705855216,0.9988638464913209,1.009417629616589,1.00063152793515,0.8917655247429285,0.890589415006149,0.8854468093393639,0.8862283468457435
netcard_base_x16,0,7.345777,14.616367,21.914423,17632314.0,0.0,0.0,0.0,0.0,2737041.0,2737041.0,21.879839,22.059455,7.347102,14.72398,22.071081999999997,17632314.0,0.0,0.0,115.0,1835.0,2735206.0,2737041.0,22.02818,22.18056,7.402593,14.657441,22.075435,17632314.0,553.0,3850.0,0.0,0.0,2733191.0,2737041.0,22.010055,22.425186,7.345367,14.877935,22.223302,17632314.0,553.0,3850.0,115.0,1835.0,2731356.0,2737041.0,22.189393,22.262933,0.9929020697761896,0.9927062818920669,0.9931504328204691,0.9933463083028795,0.9861011203465623,1.2061214905357285,1.2045063026918383,1.212824902246591,1.211130675370979
netcard_base_x16,1,7.351562,10.838025,18.169333,3586124.0,0.0,0.0,0.0,0.0,2737041.0,2737041.0,18.135014,18.550752,7.350541,10.985248,18.323758,3586124.0,0.0,0.0,115.0,1835.0,2735206.0,2737041.0,18.247646,18.335789,7.342292,10.859375,18.201667,3586124.0,553.0,3850.0,0.0,0.0,2733191.0,2737041.0,18.161498,18.294774,7.347887,11.008065,18.349219,3586124.0,553.0,3850.0,115.0,1835.0,2731356.0,2737041.0,18.338851,18.415304,0.991572416531587,0.9982235693027458,0.9986124205068346,0.9919586768243378,0.9901965309804194,1.2061214905357285,1.2045063026918383,1.212824902246591,1.211130675370979
leon2_base,0,0.609957,8.959124,9.573257,3897584.0,0.0,0.0,0.0,0.0,798318.0,798318.0,9.482731,9.72113,0.607362,8.901135,9.508497,3897584.0,0.0,0.0,0.0,0.0,798318.0,798318.0,9.470382,9.645314,0.604849,8.413218,9.025496,3897584.0,51972.0,757478.0,0.0,0.0,40840.0,798318.0,8.973811,9.148583,0.612568,8.455244,9.106027000000001,3897584.0,51972.0,757478.0,0.0,0.0,40840.0,798318.0,9.040253,9.197033,1.0068107504266972,1.0606904041617213,1.0441981997198118,0.9911562968130887,1.05130997305411,0.9934299237176712,0.9685113766127731,0.9823854098150636,0.9922449087668055
leon2_base,1,0.620141,9.022479,9.63657,1852937.0,0.0,0.0,0.0,0.0,798318.0,798318.0,9.632779000000001,9.848869,0.605842,9.211799,9.817640999999998,1852937.0,0.0,0.0,0.0,0.0,798318.0,798318.0,9.813077,9.952273,0.614156,8.583659,9.187327000000002,1852937.0,51972.0,757478.0,0.0,0.0,40840.0,798318.0,9.157397,9.478869000000001,0.61066,8.561881,9.177197,1852937.0,51972.0,757478.0,0.0,0.0,40840.0,798318.0,9.15557,9.19727,0.9815565674075882,1.0488981180271475,1.0697864500456946,1.0011038228775084,1.0500559157660014,0.9934299237176712,0.9685113766127731,0.9823854098150636,0.9922449087668055
leon2_d10,0,4.003764,38.530115,42.533879,1995500.0,0.0,0.0,0.0,0.0,77818024.0,77818024.0,42.396417,42.731711000000004,3.999546,35.639992,39.645528,1995500.0,0.0,0.0,302369.0,53237588.0,24580436.0,77818024.0,39.325516,40.455490000000005,4.021329,34.530738,38.552067,1995500.0,591905.0,9460390.0,0.0,0.0,68357634.0,77818024.0,38.410873,38.579283000000004,4.00752,30.9185,34.951281,1995500.0,591905.0,9460390.0,302286.0,53242825.0,15114809.0,77818024.0,34.789246999999996,35.005818,1.0728543960872459,1.103284008092225,1.1343082961680289,1.1030230050795562,1.2169476420621035,1.0001928246695366,1.0087845144364571,0.999196720011321,1.00427425871329
leon2_d10,1,3.997161,38.513637,42.525679000000004,1670325.0,0.0,0.0,0.0,0.0,77818024.0,77818024.0,42.44017,42.74227,3.977805,35.322489,39.300293999999994,1670325.0,0.0,0.0,302376.0,53243897.0,24574127.0,77818024.0,39.297886999999996,39.377826999999996,3.993608,34.602784,38.58306,1670325.0,591905.0,9460390.0,0.0,0.0,68357634.0,77818024.0,38.315777,38.851696000000004,4.028132,30.774394,34.802526,1670325.0,591905.0,9460390.0,302291.0,53240581.0,15117053.0,77818024.0,34.608622,34.908997,1.0820702511792917,1.1021852336232534,1.1292368260855545,1.1086281495774186,1.2219135760433022,1.0001928246695366,1.0087845144364571,0.999196720011321,1.00427425871329
leon2_d20,0,6.66329,80.138393,86.801683,1551252.0,0.0,0.0,0.0,0.0,216221818.0,216221818.0,86.474835,86.962317,6.658771,53.759296,60.414539,1551252.0,0.0,0.0,831335.0,177566871.0,38654947.0,216221818.0,60.180884,61.040649,6.678073,63.228442,69.925375,1551252.0,791403.0,20397316.0,0.0,0.0,195824502.0,216221818.0,69.726471,70.26612,6.70644,45.666455,52.34137,1551252.0,791403.0,20397316.0,831369.0,177588781.0,18235721.0,216221818.0,52.282341,52.451685,1.4367681097425902,1.2413474078615951,1.1542406895348747,1.3359485049779936,1.6583762136910059,0.9987052290881248,0.9862207351067779,0.9948058679303523,0.9809428998413233
